brand,price,os_name,Processor,RAM Size GB,Storage Size GB,battery_capacity,Dual_Sim,Screen_Size,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,fast_charging_power,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Resolution_Width,Resolution_Height,Notch_Type,os_version,rating,b_r,Processor_Category,price_Category,RAM Size GB_Category,Storage Size GB_Category,battery_capacity_Category,fast_charging_power_Category,os_version_Category,Screen_Size_Category,primary_rear_camera_mp_Category,primary_front_camera_mp_Category,Clock_Speed_GHz_Category,Resolution_Width_Category,Resolution_Height_Category,rating_Category
OPPO,25969,Android,Snapdragon_695,8.0,128.0,4500.0,Yes,6.43,60.0,64.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,82.0,OPPO,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,28999,Android,Snapdragon_8 Gen1,6.0,128.0,5000.0,Yes,6.4,120.0,64.0,3.0,32.0,1.0,Yes,65,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,82.0,Realme,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OPPO,94990,Android,Snapdragon_8,12.0,256.0,4520.0,Yes,7.1,120.0,50.0,1.0,16.0,1.0,Yes,67,Yes,Yes,No,Yes,No,8.0,3.2,1792.0,1920.0,Punch Hole,12.0,80.0,OPPO,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,3-4 GHz,1440-2460 Width,1480-2160 Height,70-80 rating
Realme,14999,Android,Snapdragon_680,6.0,128.0,5000.0,Yes,6.4,90.0,108.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,81.0,Realme,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Cola,14999,Android,Helio_99,4.0,64.0,5000.0,Yes,6.4,90.0,50.0,2.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,74.0,Other,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Apple,129900,iOS,Bionic_15,6.0,128.0,4352.0,Yes,6.7,120.0,12.0,3.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1284.0,2778.0,Small Notch,15.0,84.0,Apple,bionic,Luxury,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
OPPO,58990,Android,Snapdragon_8 Gen2,12.0,256.0,4700.0,Yes,6.73,120.0,64.0,1.0,32.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2412.0,Punch Hole,12.0,88.0,OPPO,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,41990,Android,Dimensity_9200,8.0,128.0,4810.0,Yes,6.78,120.0,50.0,3.0,32.0,1.0,No,120,Yes,Yes,No,Yes,Yes,8.0,3.05,1260.0,2800.0,Punch Hole,13.0,88.0,Vivo,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Samsung,10999,Android,Exynos_850,4.0,64.0,6000.0,Yes,6.6,60.0,50.0,3.0,8.0,1.0,Yes,15,Yes,No,No,Yes,No,8.0,2.4,2408.0,1080.0,Water Drop Notch,12.0,74.0,Samsung,exynos,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,1440-2460 Width,640-1480 Height,70-80 rating
Xiaomi,11999,Android,Helio_95,6.0,128.0,5000.0,Yes,6.43,60.0,64.0,1.0,13.0,1.0,Yes,33,Yes,No,No,No,Yes,8.0,2.05,1080.0,2400.0,Punch Hole,11.0,79.0,Xiaomi,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,16999,Android,Helio_99,8.0,128.0,5000.0,Yes,6.4,90.0,50.0,2.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,79.0,Realme,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
iQOO,30990,Android,Snapdragon_888,8.0,128.0,4500.0,Yes,6.62,120.0,48.0,3.0,16.0,1.0,Yes,66,Yes,Yes,No,Yes,No,8.0,2.84,1080.0,2400.0,Punch Hole,12.0,83.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Infinix,17999,Android,Dimensity_810,4.0,64.0,5000.0,Yes,6.6,120.0,50.0,1.0,8.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,75.0,Other,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Letv,5499,Android,Other_310,4.0,32.0,4000.0,Yes,6.54,60.0,8.0,1.0,5.0,1.0,Yes,0,Yes,No,No,No,No,4.0,2.4,720.0,1560.0,Small Notch,12.0,80.0,Other,Other,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Xiaomi,20499,Android,Snapdragon_7 Gen1,6.0,128.0,5200.0,Yes,6.67,120.0,108.0,1.0,32.0,1.0,Yes,67,Yes,Yes,No,No,Yes,8.0,2.36,1080.0,2460.0,Punch Hole,12.0,83.0,Xiaomi,snapdragon,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme Narzo,20490,Android,Dimensity_920,6.0,128.0,5000.0,Yes,6.4,90.0,48.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.5,1080.0,2400.0,Punch Hole,12.0,81.0,Other,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OPPO,15490,Android,Snapdragon_480,6.0,128.0,5000.0,Yes,6.5,90.0,48.0,3.0,8.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,77.0,OPPO,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Apple,29990,iOS,Bionic_13,3.0,64.0,2050.0,No,4.7,60.0,12.0,1.0,7.0,1.0,No,0,Yes,No,No,Yes,No,6.0,2.65,750.0,1334.0,Large Notch,13.0,61.0,Apple,bionic,Premium,1-4 GB,32-256 GB,800-3000 mAh,0-50W,v10-v16,4-6 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,640-1480 Height,60-70 rating
iQOO,15499,Android,Snapdragon_4,6.0,128.0,5000.0,Yes,6.58,120.0,50.0,2.0,8.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,79.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,11999,Android,Helio_95,6.0,64.0,5000.0,Yes,6.43,60.0,64.0,1.0,13.0,1.0,Yes,33,Yes,No,No,No,Yes,8.0,2.05,1080.0,2400.0,Punch Hole,11.0,80.0,Xiaomi,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme Narzo,10999,Android,Helio_96,4.0,64.0,5000.0,Yes,6.6,120.0,50.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,1080.0,2412.0,Punch Hole,11.0,74.0,Other,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,21990,Android,Dimensity_700,8.0,128.0,5000.0,Yes,6.58,60.0,50.0,3.0,16.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,12.0,82.0,Vivo,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Vivo,31999,Android,Dimensity_900,12.0,256.0,4500.0,Yes,6.44,90.0,64.0,3.0,50.0,1.0,Yes,44,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,85.0,Vivo,dimensity,Premium,8-18 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,40-60 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
POCO,11999,Android,Helio_96,6.0,64.0,5000.0,Yes,6.43,90.0,64.0,3.0,16.0,1.0,Yes,33,Yes,No,No,No,Yes,8.0,2.05,1080.0,2400.0,Punch Hole,11.0,77.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Infinix,36999,Android,Dimensity_920,8.0,256.0,4500.0,Yes,6.8,120.0,200.0,3.0,32.0,1.0,Yes,180,Yes,Yes,No,No,No,8.0,2.5,1080.0,2400.0,Punch Hole,12.0,89.0,Other,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Tecno,6999,Android,Helio_22,3.0,32.0,5000.0,Yes,6.56,60.0,13.0,1.0,5.0,1.0,Yes,10,Yes,No,No,No,No,4.0,2.4,720.0,1600.0,Water Drop Notch,12.0,62.0,Other,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Motorola,39999,Android,Snapdragon_8 Gen2,8.0,128.0,4600.0,Yes,6.7,165.0,50.0,3.0,60.0,1.0,Yes,125,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2400.0,No Notch,12.0,89.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,40-60 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,14999,Android,Snapdragon_695,4.0,128.0,5000.0,Yes,6.6,120.0,50.0,3.0,8.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,12.0,78.0,Samsung,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,14499,Android,Dimensity_700,8.0,128.0,5000.0,Yes,6.6,90.0,50.0,2.0,8.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,12.0,79.0,Realme,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
OnePlus,27999,Android,Dimensity_8200,8.0,128.0,4200.0,Yes,6.43,90.0,50.0,3.0,32.0,1.0,Yes,120,Yes,Yes,No,Yes,No,8.0,3.1,1080.0,2400.0,Punch Hole,12.0,84.0,Other,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Motorola,20499,Android,Snapdragon_695,8.0,128.0,5000.0,Yes,6.6,120.0,50.0,3.0,16.0,1.0,Yes,30,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,86.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
iKall,8099,Android,Other_1,4.0,64.0,5000.0,Yes,6.5,60.0,13.0,1.0,8.0,1.0,Yes,0,Yes,No,No,No,No,4.0,1.6,720.0,1600.0,Water Drop Notch,11.0,60.0,Other,Other,Budget,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
LeEco,10999,Android,Other_7150,8.0,128.0,5000.0,Yes,6.5,60.0,13.0,1.0,5.0,1.0,Yes,10,Yes,No,No,No,No,4.0,1.8,720.0,1600.0,Small Notch,12.0,65.0,Other,Other,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Realme,3499,Android,Helio_22,3.0,32.0,4000.0,Yes,6.1,60.0,13.0,2.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,720.0,1560.0,Water Drop Notch,9.0,63.0,Realme,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Duoqin,9990,Android,Helio_85,4.0,64.0,2150.0,Yes,3.54,60.0,8.0,1.0,2.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,640.0,960.0,No Notch,12.0,80.0,Other,helio,Budget,1-4 GB,32-256 GB,800-3000 mAh,0-50W,v10-v16,1-4 inches,5-14 mp,1-8 mp,2-3 GHz,120-640 Width,640-1480 Height,70-80 rating
Samsung,34999,Android,Snapdragon_888,6.0,128.0,6000.0,Yes,6.67,90.0,64.0,3.0,32.0,1.0,Yes,25,Yes,Yes,No,No,No,8.0,2.84,1080.0,2412.0,Punch Hole,12.0,85.0,Samsung,snapdragon,Premium,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Nokia,46999,Android,Snapdragon_8 Gen1,12.0,256.0,6000.0,Yes,6.9,120.0,200.0,1.0,32.0,1.0,Yes,65,Yes,Yes,No,No,No,8.0,2.4,1400.0,3200.0,Punch Hole,12.1,80.0,Other,snapdragon,Premium,8-18 GB,32-256 GB,5000-10000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Motorola Edge,39999,Android,Snapdragon_888,8.0,128.0,4400.0,Yes,6.55,144.0,50.0,3.0,32.0,1.0,No,68,Yes,Yes,No,Yes,No,8.0,2.9,1080.0,2400.0,Punch Hole,12.0,88.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,11828,Android,Other_616,4.0,64.0,5000.0,Yes,6.6,60.0,50.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,1.8,1080.0,2408.0,Water Drop Notch,11.0,70.0,Realme,Other,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,0-2 GHz,640-1080 Width,2160-3840 Height,60-70 rating
OPPO,45999,Android,Dimensity_8100,12.0,256.0,4500.0,Yes,6.7,120.0,50.0,3.0,32.0,1.0,Yes,80,Yes,Yes,No,Yes,No,8.0,2.85,1080.0,2412.0,Punch Hole,12.0,86.0,OPPO,dimensity,Premium,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
OnePlus,18999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.59,120.0,50.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2412.0,Punch Hole,12.0,81.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
POCO,17999,Android,Snapdragon_695,8.0,128.0,5000.0,Yes,6.67,120.0,64.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,No,Yes,8.0,2.2,1080.0,2400.0,Punch Hole,11.0,84.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,8499,Android,Helio_35,4.0,64.0,5000.0,Yes,6.5,60.0,13.0,2.0,5.0,1.0,Yes,15,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,12.0,66.0,Samsung,helio,Budget,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
OPPO,17999,Android,Snapdragon_680,8.0,128.0,5000.0,Yes,6.56,90.0,50.0,2.0,8.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,12.0,76.0,OPPO,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Samsung,14450,Android,Other_2,4.0,64.0,5000.0,Yes,6.6,60.0,50.0,1.0,8.0,1.0,Yes,25,Yes,No,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,75.0,Samsung,Other,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Motorola Edge,54999,Android,Snapdragon_8,8.0,128.0,4610.0,Yes,6.67,144.0,200.0,3.0,60.0,1.0,Yes,125,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2400.0,Punch Hole,12.0,80.0,Other,snapdragon,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,40-60 mp,3-4 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,71999,Android,Snapdragon_8 Gen2,12.0,256.0,5000.0,Yes,6.6,120.0,108.0,1.0,32.0,1.0,Yes,120,Yes,Yes,No,Yes,Yes,8.0,3.2,1440.0,3200.0,Punch Hole,12.0,80.0,Xiaomi,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,16-40 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Motorola,12999,Android,Snapdragon_680,6.0,128.0,5000.0,Yes,6.6,90.0,50.0,3.0,16.0,1.0,Yes,33,Yes,No,No,Yes,No,8.0,2.4,2460.0,1080.0,Punch Hole,12.0,79.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1440-2460 Width,640-1480 Height,70-80 rating
POCO,11499,Android,Dimensity_700,4.0,64.0,5000.0,Yes,6.58,90.0,50.0,2.0,8.0,1.0,Yes,18,Yes,Yes,No,No,Yes,8.0,2.2,1080.0,2400.0,Water Drop Notch,12.0,75.0,Other,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Nothing,35999,Android,Snapdragon_778,12.0,256.0,4500.0,Yes,6.55,120.0,50.0,2.0,16.0,1.0,Yes,33,Yes,Yes,No,Yes,No,8.0,2.5,1080.0,2400.0,Punch Hole,12.0,87.0,Other,snapdragon,Premium,8-18 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,34999,Android,Exynos_1380,6.0,128.0,5000.0,Yes,6.4,120.0,50.0,3.0,32.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,2.4,1080.0,2400.0,Punch Hole,13.0,76.0,Samsung,exynos,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Tecno,11999,Android,Helio_99,8.0,128.0,6000.0,Yes,6.82,90.0,50.0,1.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.2,720.0,1600.0,Water Drop Notch,12.0,73.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Xiaomi,27994,Android,Dimensity_1080,8.0,256.0,5000.0,Yes,6.67,120.0,50.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,No,Yes,8.0,2.6,1080.0,2400.0,Punch Hole,12.0,82.0,Xiaomi,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Apple,139990,iOS,Bionic_16,6.0,256.0,4323.0,Yes,6.7,120.0,48.0,3.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,2.4,1290.0,2796.0,No Notch,16.0,77.0,Apple,bionic,Luxury,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Vivo,39999,Android,Dimensity_1300,12.0,256.0,4830.0,Yes,6.56,120.0,64.0,3.0,32.0,1.0,Yes,66,Yes,Yes,No,No,No,8.0,2.4,1080.0,2376.0,Punch Hole,12.0,86.0,Vivo,dimensity,Premium,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme,15499,Android,Dimensity_810,6.0,128.0,5000.0,Yes,6.5,90.0,48.0,3.0,16.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,11.0,79.0,Realme,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,18999,Android,Snapdragon_695,6.0,128.0,5000.0,Yes,6.6,120.0,64.0,3.0,16.0,1.0,Yes,33,Yes,Yes,No,No,No,8.0,2.2,1080.0,2412.0,Punch Hole,12.0,80.0,Realme,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Lava,10999,Android,Dimensity_700,4.0,128.0,5000.0,Yes,6.5,90.0,50.0,2.0,8.0,1.0,Yes,0,Yes,Yes,No,No,No,8.0,2.2,1600.0,720.0,Water Drop Notch,12.0,73.0,Other,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,1440-2460 Width,640-1480 Height,70-80 rating
Honor,27999,Android,Snapdragon_695,8.0,256.0,5100.0,Yes,6.67,120.0,64.0,3.0,16.0,1.0,Yes,40,Yes,Yes,No,Yes,Yes,8.0,2.2,1080.0,2400.0,Punch Hole,12.0,81.0,Other,snapdragon,Premium,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Google,81999,Android,Other_2,12.0,128.0,5000.0,Yes,6.7,120.0,50.0,3.0,8.0,1.0,Yes,30,Yes,Yes,No,Yes,No,8.0,2.85,1440.0,3120.0,Punch Hole,12.0,80.0,Other,Other,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Tecno,9999,Android,Helio_88,4.0,64.0,7000.0,Yes,6.95,90.0,50.0,3.0,8.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,1080.0,2460.0,Punch Hole,11.0,74.0,Other,helio,Budget,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,31994,Android,Dimensity_1200,8.0,128.0,4300.0,Yes,6.56,90.0,108.0,3.0,50.0,2.0,No,44,Yes,Yes,No,No,No,8.0,2.4,1080.0,2376.0,Small Notch,12.0,85.0,Vivo,dimensity,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,40-60 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,9299,Android,Helio_35,3.0,32.0,5000.0,Yes,6.5,60.0,13.0,2.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,12.0,65.0,Samsung,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
